5	11	Scrubs	My Buddy's Booty	8.1	466	2006
5	12	Scrubs	My Cabbage	8.5	523	2006
5	13	Scrubs	My Five Stages	8.6	543	2006
5	14	Scrubs	My Own Personal Hell	8.2	452	2006
5	15	Scrubs	My Extra Mile	8.5	503	2006
5	16	Scrubs	My Bright Idea	8.6	508	2006
5	17	Scrubs	My Chopped Liver	8.3	480	2006
5	18	Scrubs	My New Suit	8.1	481	2006
5	19	Scrubs	His Story III	8.8	581	2006
5	20	Scrubs	My Lunch	9.7	2125	2006
5	21	Scrubs	My Fallen Idol	9.3	929	2006
5	22	Scrubs	My Deja Vu, My Deja Vu	8.2	518	2006
5	23	Scrubs	My Urologist	8.4	507	2006
5	24	Scrubs	My Transition	8.7	518	2006
6	1	Scrubs	My Mirror Image	8.3	561	2006
6	2	Scrubs	My Best Friend's Baby's Baby and My Baby's Baby	8.4	545	2006
6	3	Scrubs	My Coffee	8.2	482	2006
6	4	Scrubs	My House	8.4	529	2007
6	5	Scrubs	My Friend with Money	8.1	495	2007
6	6	Scrubs	My Musical	9.2	2114	2007
6	7	Scrubs	His Story IV	8.4	581	2007
6	8	Scrubs	My Road to Nowhere	8.7	534	2007
6	9	Scrubs	My Perspective	8.5	477	2007
6	10	Scrubs	My Therapeutic Month	8.2	482	2007
6	11	Scrubs	My Night to Remember	5.9	794	2007
6	12	Scrubs	My Fishbowl	8.1	544	2007
6	13	Scrubs	My Scrubs	8.5	520	2007
6	14	Scrubs	My No Good Reason	8.9	700	2007
6	15	Scrubs	My Long Goodbye	9.2	831	2007
6	16	Scrubs	My Words of Wisdom	8.5	534	2007
6	17	Scrubs	Their Story	8.7	595	2007
6	18	Scrubs	My Turf War	8.2	513	2007
6	19	Scrubs	My Cold Shower	8.8	680	2007
6	20	Scrubs	My Conventional Wisdom	8.7	585	2007
6	21	Scrubs	My Rabbit	8.5	504	2007
6	22	Scrubs	My Point of No Return	8.8	677	2007
7	1	Scrubs	My Own Worst Enemy	8.5	707	2007
7	2	Scrubs	My Hard Labor	8.2	495	2007
7	3	Scrubs	My Inconvenient Truth	8.1	480	2007
7	4	Scrubs	My Identity Crisis	8.2	462	2007
7	5	Scrubs	My Growing Pains	8.2	466	2007
7	6	Scrubs	My Number One Doctor	8.4	466	2007
7	7	Scrubs	My Bad Too	8.1	470	2008
7	8	Scrubs	My Manhood	8.2	456	2008
7	9	Scrubs	My Dumb Luck	8.7	515	2008
7	10	Scrubs	My Waste of Time	8.2	452	2008
7	11	Scrubs	My Princess	8.2	716	2008
8	1	Scrubs	My Jerks	8.3	638	2009
