1	"S1:E1 Pilot"	9	NaN	3.715	0	
2	"S1:E2 Allen"	8.7	-0.3000000000000007	2.411	0	
3	"S1:E3 Cell Test"	8.6	-0.25	2.227	0	
4	"S1:E4 Cute Poison"	8.8	0.033333333333333215	2.167	0	
5	"S1:E5 "English, Fitz or Percy""	9	0.22499999999999964	2.213	0	
6	"S1:E6 "Riots, Drills and the Devil: Part 1""	9.3	0.4800000000000004	2.634	0	
7	"S1:E7 "Riots, Drills and the Devil: Part 2""	9.2	0.29999999999999893	2.372	0	
8	"S1:E8 "Old Head, The""	8.8	-0.14285714285714235	1.983	1	
9	"S1:E9 Tweener"	8.7	-0.22500000000000142	1.952	1	
10	"S1:E10 Sleight of Hand"	8.7	-0.1999999999999993	1.924	1	
11	"S1:E11 And Then There Were 7"	8.7	-0.17999999999999972	1.927	1	
12	"S1:E12 Odd Man Out"	8.8	-0.0636363636363626	1.9	1	
13	"S1:E13 End of the Tunnel"	9.1	0.24166666666666714	2.08	0	
14	"S1:E14 "Rat, The""	9	0.12307692307692264	2.01	0	
15	"S1:E15 By the Skin and the Teeth"	8.6	-0.2857142857142865	1.876	0	
16	"S1:E16 Brother's Keeper"	8.7	-0.16666666666666785	2.019	0	
17	"S1:E17 J-Cat"	8.7	-0.15625	1.894	0	
18	"S1:E18 Bluff"	8.9	0.05294117647058805	1.895	0	
19	"S1:E19 "Key, The""	8.9	0.049999999999998934	1.974	0	
20	"S1:E20 Tonight"	9.2	0.3473684210526322	2.166	0	
21	"S1:E21 Go"	9.5	0.629999999999999	2.96	0	
22	"S1:E22 Flight"	9.4	0.5	2.805	0	
23	"S2:E1 Manhunt"	8.9	-0.022727272727273373	2.271	1	
24	"S2:E2 Otis"	8.6	-0.3217391304347821	1.788	1	
25	"S2:E3 Scan"	8.6	-0.30833333333333357	1.747	1	
26	"S2:E4 First Down"	8.7	-0.1960000000000015	1.809	1	
27	"S2:E5 Map 1213"	8.5	-0.38846153846153797	1.674	1	
28	"S2:E6 Subdivision"	8.5	-0.37407407407407334	1.647	1	
29	"S2:E7 Buried"	8.7	-0.16071428571428648	1.701	1	
30	"S2:E8 Dead Fall"	8.5	-0.35517241379310427	1.643	1	
31	"S2:E9 Unearthed"	8.7	-0.14333333333333442	1.609	1	
32	"S2:E10 Rendezvous"	8.6	-0.23870967741935445	1.624	1	
33	"S2:E11 Bolshoi Booze"	8.7	-0.13125000000000142	1.621	1	
34	"S2:E12 Disconnect"	8.6	-0.2272727272727284	1.598	1	
35	"S2:E13 "Killing Box, The""	9	0.1794117647058826	1.802	1	
36	"S2:E14 John Doe"	8.8	-0.025714285714284912	1.689	1	
